nombre_archivo,fecha,objeto_principal,color_dominante,emocion_primaria,categoría
IMG_20250120_150630_215.jpg,2025-01-20,person,#595e67,happy,Selfie
IMG_20250117_112006_771.jpg,2025-01-17,person,#5c616b,happy,"Selfie, Comida y Bebida"
IMG_20250113_093221_483.jpg,2025-01-13,coffee_mug,#838593,happy,"Selfie, Comida y Bebida"
IMG_20250105_124127_869.jpg,2025-01-05,coffee_mug,#858387,happy,"Selfie, Comida y Bebida"
IMG_20250103_151034_782.jpg,2025-01-03,hall,#535a77,neutral,Selfie
IMG_20241225_185115_547.jpg,2024-12-25,stole,#7b7376,happy,"Selfie, Con otras personas"
IMG_20241224_135057_364.jpg,2024-12-24,lights,#707683,neutral,Selfie
IMG_20241222_155459_612.jpg,2024-12-22,kitchen,#666974,neutral,Cuerpo Completo
IMG_20241220_202547_970.jpg,2024-12-20,scene,#8d8486,happy,Cuerpo Completo
IMG_20241219_163537_270.jpg,2024-12-19,seat_belt,#716b6f,happy,Selfie
IMG_20241218_121747_857.jpg,2024-12-18,person,#736f7a,happy,"Selfie, Sticker"
IMG_20241218_120938_679.jpg,2024-12-18,certificate,#71737a,happy,Selfie
IMG_20241217_105637_371.jpg,2024-12-17,classroom,#8b8493,happy,Selfie
IMG_20241215_215004_342.jpg,2024-12-15,park,#999ba0,happy,Con otras personas
IMG_20241214_213236_980.jpg,2024-12-14,guillotine,#585f71,happy,"Comida y Bebida, Cuerpo Completo"
IMG_20241213_174908_771.jpg,2024-12-13,sign,#7c778b,happy,Selfie
IMG_20241212_152508_373.jpg,2024-12-12,logo,#c591c9,happy,Con otras personas
IMG_20241211_135550_333.jpg,2024-12-11,logo,#894f9e,happy,"Con otras personas, Cuerpo Completo"
IMG_20241210_131348_346.jpg,2024-12-10,person,#807977,happy,Selfie
IMG_20241209_094758_667.jpg,2024-12-09,group_of_people,#7a728c,happy,Con otras personas
IMG_20241207_195008_629.jpg,2024-12-07,dog,#898197,neutral,Otro
IMG_20241206_184833_967.jpg,2024-12-06,people,#657498,happy,Con otras personas
IMG_20241205_165049_657.jpg,2024-12-05,people,#8083a7,sad,Con otras personas
IMG_20241204_162420_929.jpg,2024-12-04,people,#7b6089,happy,Con otras personas
